Numéros,Nombre de sorties,Pourcentage de sorties,Dernière sortie
1,39,7.00,20/05/25
2,59,10.59,29/04/25
3,51,9.16,02/05/25
4,47,8.44,30/05/25
5,50,8.98,02/05/25
6,52,9.34,16/05/25
7,58,10.41,30/05/25
8,48,8.62,20/05/25
9,55,9.87,16/05/25
10,63,11.31,23/05/25
11,57,10.23,21/02/25
12,60,10.77,03/06/25
13,55,9.87,20/05/25
14,55,9.87,30/05/25
15,57,10.23,03/06/25
16,63,11.31,28/02/25
17,58,10.41,21/03/25
18,50,8.98,09/05/25
19,62,11.13,13/05/25
20,63,11.31,18/04/25
21,73,13.11,02/05/25
22,37,6.64,25/04/25
23,60,10.77,06/05/25
24,58,10.41,06/05/25
25,57,10.23,16/05/25
26,51,9.16,18/02/25
27,58,10.41,18/04/25
28,53,9.52,22/04/25
29,64,11.49,23/05/25
30,50,8.98,27/05/25
31,45,8.08,15/04/25
32,55,9.87,25/04/25
33,59,10.59,30/05/25
34,67,12.03,11/04/25
35,72,12.93,18/04/25
36,53,9.52,30/05/25
37,58,10.41,16/05/25
38,55,9.87,03/06/25
39,48,8.62,25/04/25
40,48,8.62,27/05/25
41,56,10.05,27/05/25
42,65,11.67,28/03/25
43,42,7.54,23/05/25
44,55,9.87,13/05/25
45,56,10.05,04/04/25
46,61,10.95,23/05/25
47,60,10.77,03/06/25
48,59,10.59,03/06/25
49,53,9.52,23/05/25
50,55,9.87,13/05/25
